target,hook,layer,cv_group_number_r2,cv_group_number_spearman,holdout_concept_r2,holdout_concept_spearman,n_samples
delta_vs_remove_injection_span,probe_prefix,17,-0.13211807676927378,0.1557011087506012,-0.5176483625609338,0.09339361954323326,100
delta_vs_remove_injection_span,probe_prefix,18,-0.17881002484266806,0.1927093335609587,-0.521642726391639,0.1061089292201872,100
delta_vs_remove_injection_span,probe_prefix,19,-0.08222128859230016,0.2357888462901547,-0.5142368573305607,0.0909573686093761,100
delta_vs_remove_injection_span,probe_prefix,20,-0.17505594058798302,0.19076920857449095,-0.5415062415848995,0.07663989390941758,100
delta_vs_remove_injection_span,probe_prefix,21,-0.11727469818086989,0.21870114877075597,-0.5031293555275678,0.07893213000974623,100
delta_vs_remove_injection_span,probe_prefix,22,-0.21069871065046053,0.19670617157773748,-0.4596935921833334,0.08732099406278145,100
delta_vs_remove_injection_span,probe_prefix,23,-0.3582274724857104,0.17624796135017004,-0.6504463578443298,0.037017812834888586,100
delta_vs_remove_injection_span,probe_prefix,24,-0.517598328284901,0.1622969987419345,-0.6757324953687298,0.03279937833611623,100
delta_vs_remove_injection_span,probe_prefix,25,-0.5173769780480952,0.18097832216569915,-0.6568915421628891,0.034905595276470566,100
delta_vs_remove_injection_span,probe_prefix,26,-0.4644086413261903,0.19574510446561802,-0.6926591617547504,0.046090747347184186,100
delta_vs_remove_injection_span,probe_prefix,27,-0.544729072689091,0.20141852340539018,-0.6886428410713579,0.03681379182072321,100
delta_vs_remove_injection_span,probe_prefix,28,-0.4672830442149558,0.20750369211546946,-0.6613430416606867,0.06766296928614098,100
delta_vs_remove_injection_span,probe_prefix,29,-0.51211003742086,0.2077251772454623,-0.791817180568652,0.06445863924013182,100
delta_vs_remove_injection_span,probe_prefix,30,-0.56613447359558,0.20868214851553002,-0.8831498716043942,0.07079529191538589,100
delta_vs_remove_injection_span,probe_prefix,31,-0.45139357942126956,0.2233054466711504,-0.74335080459879,0.07955019367030605,100
delta_vs_remove_injection_span,probe_prefix,32,-0.3260494104595495,0.2505222781116179,-0.6179170947276784,0.08664892483964844,100
delta_vs_remove_injection_span,random_mid,1,-0.5438919413985817,-0.013969265215673127,-0.4938199283623175,-0.009871075947322684,100
delta_vs_remove_injection_span,random_mid,2,-0.16546812233434882,0.09939190253210582,-0.5465203836219836,-0.04409880677013642,100
delta_vs_remove_injection_span,random_mid,3,-0.1477705885189171,0.1188165854785505,-0.4555980092968328,-0.007278815227436506,100
delta_vs_remove_injection_span,random_mid,4,-0.2015990624815378,0.04152359583017233,-0.5407749006971061,-0.07867457552908674,100
delta_vs_remove_injection_span,random_mid,5,-0.24556254953459344,0.03378496270161814,-0.5190147886935403,-0.06636723402880783,100
delta_vs_remove_injection_span,random_mid,6,-0.30040855165034475,0.01898719115766012,-0.5286069402449105,-0.07261991557112409,100
delta_vs_remove_injection_span,random_mid,7,-0.2637530906349479,0.030939255370911398,-0.49734719915731507,-0.0512275838068655,100
delta_vs_remove_injection_span,random_mid,8,-0.23601219063340317,0.027680146826306998,-0.45769758484031464,-0.0429406805343715,100
delta_vs_remove_injection_span,random_mid,9,-0.20227570894373614,0.07552924157485588,-0.44441301988969717,0.0005640614827041534,100
delta_vs_remove_injection_span,random_mid,10,-0.24315636798670637,0.051769992597504415,-0.5157547377260701,-0.046985121378441706,100
delta_vs_remove_injection_span,random_mid,11,-0.18673812537740742,0.06247280377281236,-0.4416228354826346,-0.0022562527003430555,100
delta_vs_remove_injection_span,random_mid,12,-0.3091546580343498,0.003973959459748417,-0.5113614203915198,-0.05034563871244212,100
delta_vs_remove_injection_span,random_mid,13,-0.18207373025301488,0.06394525701648052,-0.4567935804951171,0.00969105632518306,100
delta_vs_remove_injection_span,random_mid,14,-0.13223622573517324,0.1279674018426342,-0.43794151238365076,0.014707647256757524,100
delta_vs_remove_injection_span,random_mid,15,-0.1116541146717771,0.11935299917602163,-0.46748513028915073,-0.04396679238056736,100
delta_vs_remove_injection_span,random_mid,16,-0.12477234284229,0.11223234944375493,-0.5100310780535089,-0.07737266573995574,100
delta_vs_remove_injection_span,random_mid,17,-0.1867525968522541,0.059075128464326554,-0.5706211801900252,-0.11615466085855634,100
delta_vs_remove_injection_span,random_mid,18,-0.23624485859081323,0.010571307625719535,-0.603826694807823,-0.13863311100972397,100
delta_vs_remove_injection_span,random_mid,19,-0.24380244579662036,0.004652335837554026,-0.5712996452183898,-0.13077264653876652,100
delta_vs_remove_injection_span,random_mid,20,-0.24921638912535848,-0.032158435599333464,-0.5658650021887586,-0.1264161586120403,100
delta_vs_remove_injection_span,random_mid,21,-0.2563114932571213,-0.008980508919975256,-0.5709602483474923,-0.13538675715713944,100
delta_vs_remove_injection_span,random_mid,22,-0.2606383523534386,-0.00889662700886445,-0.5882086078951754,-0.13091666266857566,100
delta_vs_remove_injection_span,random_mid,23,-0.24071925324633003,0.016598483186887628,-0.565855407454606,-0.11718112428802976,100
delta_vs_remove_injection_span,random_mid,24,-0.20939192924907624,-0.0007503767479925848,-0.53901974885156,-0.10570152146631555,100
delta_vs_remove_injection_span,random_mid,25,-0.22033839765239183,0.004034025397208136,-0.5222964832402703,-0.10517377946519345,100
delta_vs_remove_injection_span,random_mid,26,-0.2259342202355863,-0.005444733683434196,-0.5120477947096753,-0.104267677981811,100
delta_vs_remove_injection_span,random_mid,27,-0.23574296213862955,0.006669408615056837,-0.5221457679762251,-0.0878918438880977,100
delta_vs_remove_injection_span,random_mid,28,-0.2167337083147971,0.0456713418031975,-0.5184917315709854,-0.07430609936516522,100
delta_vs_remove_injection_span,random_mid,29,-0.25001742939501703,0.01784079684950498,-0.5242824947878875,-0.07416808432152484,100
delta_vs_remove_injection_span,random_mid,30,-0.24896996542630112,0.02092688377388763,-0.5486798789797638,-0.09048986339551737,100
delta_vs_remove_injection_span,random_mid,31,-0.265605049644841,-0.021737109446553382,-0.5896059555264175,-0.13373657728752622,100
delta_vs_remove_injection_span,random_mid,32,-0.26928725188541947,0.010283162954490383,-0.643879038122491,-0.1814663242315807,100
delta_vs_replace_with_control_number,injection_end,1,-0.05531332630382946,-0.09080459333969891,-0.28625309568499757,0.06396058794084575,100
delta_vs_replace_with_control_number,injection_end,2,-0.04686701746842359,-0.06184267867409215,-0.27476149451529874,0.06515471093551958,100
delta_vs_replace_with_control_number,injection_end,3,-0.014322153474191746,-0.07365521229026359,-0.2502292697800297,0.08880914734257596,100
delta_vs_replace_with_control_number,injection_end,4,-0.03609018564411648,-0.07914783814564999,-0.26897068195047136,0.08361861271748622,100
delta_vs_replace_with_control_number,injection_end,5,-0.09622309166040632,-0.0988012338292949,-0.2805934609494021,0.08076231851917094,100
delta_vs_replace_with_control_number,injection_end,6,-0.10032639590309045,-0.07762450766207393,-0.25852446773586113,0.11338167831337653,100
delta_vs_replace_with_control_number,injection_end,7,-0.10803915384014973,-0.08343539030200027,-0.2833366815382372,0.0641766101911385,100
delta_vs_replace_with_control_number,injection_end,8,-0.1837307031334494,-0.10814965045548866,-0.2873061494159934,0.09653194279054185,100
delta_vs_replace_with_control_number,injection_end,9,-0.1626533362808078,-0.0715188348659819,-0.2640927639027346,0.10483679819068545,100
delta_vs_replace_with_control_number,injection_end,10,-0.22462954347322106,-0.11468089044747198,-0.2751485215745477,0.08199244522222689,100
delta_vs_replace_with_control_number,injection_end,11,-0.2862514025330867,-0.16802183883656482,-0.32041311056040267,0.05987416703947452,100
delta_vs_replace_with_control_number,injection_end,12,-0.30208888855182403,-0.10559333304271583,-0.3245587547443458,0.06225641241075849,100
delta_vs_replace_with_control_number,injection_end,13,-0.2634522758714888,-0.14870309037118254,-0.3286874440854193,0.05620178878449773,100
delta_vs_replace_with_control_number,injection_end,14,-0.2717637332882934,-0.1540918286454504,-0.34607601627851436,0.0346955736442415,100
delta_vs_replace_with_control_number,injection_end,15,-0.3313658985098342,-0.14835293004460695,-0.3835686535926408,0.03498960392936219,100
delta_vs_replace_with_control_number,injection_end,16,-0.32379711864774197,-0.15591394141129325,-0.339452991686207,0.039658084782911114,100
delta_vs_replace_with_control_number,injection_end,17,-0.22135969899097563,-0.13973732034318745,-0.2868530719854312,0.05297345626623382,100
delta_vs_replace_with_control_number,injection_end,18,-0.21393914598883823,-0.11629254887089224,-0.2624109207485621,0.09049532101847217,100
delta_vs_replace_with_control_number,injection_end,19,-0.18628742696706913,-0.100950261213151,-0.27016158911485544,0.09752204477105031,100
delta_vs_replace_with_control_number,injection_end,20,-0.19992383337653497,-0.0956694593311014,-0.26127736301170557,0.11111944530336633,100
delta_vs_replace_with_control_number,injection_end,21,-0.20504035671785692,-0.10567451973576204,-0.2570293855958965,0.11189352503358202,100
delta_vs_replace_with_control_number,injection_end,22,-0.1296739877180837,-0.08798564757582689,-0.2491138681292857,0.1298053699536894,100
delta_vs_replace_with_control_number,injection_end,23,-0.10210219406957366,-0.07161574178840356,-0.24171921996607826,0.12836522161840438,100
delta_vs_replace_with_control_number,injection_end,24,-0.10045838996151968,-0.056524719126948404,-0.24259396076412743,0.12591696944841987,100
delta_vs_replace_with_control_number,injection_end,25,-0.06883119447482522,-0.020542190489491685,-0.21676591062579642,0.14597103501726372,100
delta_vs_replace_with_control_number,injection_end,26,-0.049518548963501496,-0.015998080304652513,-0.19802845562246296,0.14777122043636998,100
delta_vs_replace_with_control_number,injection_end,27,-0.061711579649068815,0.005054416360912954,-0.19830829960170027,0.1657550727732416,100
delta_vs_replace_with_control_number,injection_end,28,-0.04856436321846336,0.003133582708828747,-0.1727999996199654,0.17976051533388837,100
delta_vs_replace_with_control_number,injection_end,29,-0.04427363067021095,0.017318435335601626,-0.1638955460865692,0.17935247330555762,100
delta_vs_replace_with_control_number,injection_end,30,-0.04530557461650209,0.030579169594819006,-0.16161982276161746,0.1662411228364003,100
delta_vs_replace_with_control_number,injection_end,31,-0.0019652442662512204,0.06957326083489446,-0.16143946233518225,0.1800425443828817,100
delta_vs_replace_with_control_number,injection_end,32,-0.07298560227202944,0.048041832404267085,-0.18743402168012402,0.16805330949163394,100
delta_vs_replace_with_control_number,after_injection,1,-0.22068669079298409,-0.030200437899944265,-0.36145436084978155,0.050753227582669425,100
delta_vs_replace_with_control_number,after_injection,2,-0.2882814000497964,-0.001944964850553859,-0.36360277162232957,0.07481570601805657,100
delta_vs_replace_with_control_number,after_injection,3,-0.10861508453989832,0.007179561608834616,-0.3399163372014542,0.06914512194787181,100
delta_vs_replace_with_control_number,after_injection,4,-0.10890703469918095,-0.025386441228811302,-0.37937555229436737,0.0529854575023612,100
delta_vs_replace_with_control_number,after_injection,5,-0.17880180067758022,-0.06344976212075212,-0.35687181699868864,0.04495062991508355,100
delta_vs_replace_with_control_number,after_injection,6,-0.1977595817375919,-0.08911340469913558,-0.4219076819532679,0.010117042055377234,100
delta_vs_replace_with_control_number,after_injection,7,-0.12651544086568056,-0.03823331086691627,-0.3185503993871719,0.040990221993049754,100
delta_vs_replace_with_control_number,after_injection,8,-0.14953728743816885,-0.048570094462442204,-0.3209756581995995,0.03612372074339914,100
delta_vs_replace_with_control_number,after_injection,9,-0.04562937606257611,-0.05859453979577382,-0.2316747361323741,0.05324948469716345,100
delta_vs_replace_with_control_number,after_injection,10,-0.16517330939341246,-0.10960639944644848,-0.30653832342852505,0.01367540856714396,100
delta_vs_replace_with_control_number,after_injection,11,-0.17005063819160338,-0.09642583455076123,-0.35045330958983323,-0.0139454363800099,100
delta_vs_replace_with_control_number,after_injection,12,-0.2251582616167107,-0.20232619083977796,-0.35884563144882087,-0.03389149082370737,100
delta_vs_replace_with_control_number,after_injection,13,-0.17057580168713748,-0.10635476005328001,-0.3668023142240593,-0.0017161767662146436,100
delta_vs_replace_with_control_number,after_injection,14,-0.27617522685032125,-0.157560161828664,-0.3166390882483514,0.05504967011626972,100
delta_vs_replace_with_control_number,after_injection,15,-0.15557457626131344,-0.10275112214934326,-0.2851750873486989,0.11362170303592405,100
