model,concept,metric,n,mean,ci95_low,ci95_high
llama,elephant,delta_vs_remove_injection_span,10,0.616015625,0.5103466796875,0.7207080078124999
qwen,elephant,delta_vs_remove_injection_span,10,1.32100830078125,0.9976644897460938,1.6552801513671873
llama,giraffe,delta_vs_remove_injection_span,10,1.4643712639808655,1.2300205385684968,1.7069627436995505
qwen,giraffe,delta_vs_remove_injection_span,10,3.634946322441101,3.4511285743117335,3.890481617450714
llama,kangaroo,delta_vs_remove_injection_span,10,1.0018193006515503,0.8240879452228547,1.1892648306488989
qwen,kangaroo,delta_vs_remove_injection_span,10,2.0808590769767763,1.8576119473576547,2.385942060649395
llama,koala,delta_vs_remove_injection_span,10,1.220590627193451,1.0749194484949114,1.3901022955775262
qwen,koala,delta_vs_remove_injection_span,10,0.06268014907836912,-0.32202722012996676,0.42145690739154806
llama,lion,delta_vs_remove_injection_span,10,0.621875,0.10078125,1.1156640624999996
qwen,lion,delta_vs_remove_injection_span,10,1.1001953125,0.896474609375,1.3873242187499997
llama,orangutan,delta_vs_remove_injection_span,10,1.109765625,0.992999153137207,1.2581954193115235
qwen,orangutan,delta_vs_remove_injection_span,10,-0.12381846904754638,-0.40273560881614684,0.22659231036901445
llama,panda,delta_vs_remove_injection_span,10,0.834765625,0.745693359375,0.922265625
qwen,panda,delta_vs_remove_injection_span,10,0.7953125,0.459951171875,1.2095800781249997
llama,penguin,delta_vs_remove_injection_span,10,1.3778091430664063,1.326897735595703,1.4295471191406248
qwen,penguin,delta_vs_remove_injection_span,10,3.4140905380249023,3.1955799317359923,3.666239494085312
llama,chimpanzee,delta_vs_replace_with_control_number,10,0.19023370742797852,0.04177717804908754,0.350036754906177
qwen,chimpanzee,delta_vs_replace_with_control_number,10,0.30156248807907104,0.029287050962448116,0.7996191999316213
llama,dolphin,delta_vs_replace_with_control_number,10,0.034912109375,-0.04648681640625,0.10908447265624997
qwen,dolphin,delta_vs_replace_with_control_number,10,0.244580078125,0.008879394531250003,0.66059814453125
llama,elephant,delta_vs_replace_with_control_number,10,0.3947265625,0.24140625,0.5349609375
qwen,elephant,delta_vs_replace_with_control_number,10,0.3157958984375,0.17642639160156248,0.4660067749023437
llama,giraffe,delta_vs_replace_with_control_number,10,0.4472985744476318,0.1397935977578163,0.7794003009796142
qwen,giraffe,delta_vs_replace_with_control_number,10,0.9491695642471314,0.27592441052198413,1.9496938711404794
llama,kangaroo,delta_vs_replace_with_control_number,10,0.5719498038291931,0.28947706282138824,0.9709441423416134
qwen,kangaroo,delta_vs_replace_with_control_number,10,1.6050780892372132,0.9427441519498826,2.328325146436691
llama,koala,delta_vs_replace_with_control_number,10,0.19825820922851561,-0.1380152988433838,0.5301174843311308
qwen,koala,delta_vs_replace_with_control_number,10,0.7544341087341309,0.2529658704996109,1.3417944735288618
llama,lion,delta_vs_replace_with_control_number,10,0.2560546875,-0.51681640625,1.0293066406249998
qwen,lion,delta_vs_replace_with_control_number,10,0.9412109375,0.42380859375,1.4965136718749996
llama,orangutan,delta_vs_replace_with_control_number,10,0.54508056640625,0.1473644256591797,1.2417680740356445
qwen,orangutan,delta_vs_replace_with_control_number,10,0.4785161972045898,0.199610486626625,0.8058593556284904
llama,panda,delta_vs_replace_with_control_number,10,0.40703125,0.11520507812500001,0.8379492187499992
qwen,panda,delta_vs_replace_with_control_number,10,0.6109375,0.229091796875,1.16328125
llama,penguin,delta_vs_replace_with_control_number,10,0.23329925537109375,0.11243545532226563,0.353106575012207
qwen,penguin,delta_vs_replace_with_control_number,10,1.0203260421752929,0.346875433921814,1.8619677305221556
