,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
030,-1.056640625,-2.697265625,-3.837890625,-6.8515625,-4.515625,-3.107421875,-2.619140625,-6.65625,-4.98046875,-7.609375
031,-1.0390625,-2.1640625,-3.7578125,-7.03125,-4.0859375,-2.66015625,-3.5,-7.0546875,-4.84375,-7.4453125
032,-2.455078125,-1.798828125,-4.1953125,-6.953125,-3.330078125,-2.9453125,-3.666015625,-7.2421875,-4.00390625,-6.6953125
033,-1.7138671875,-2.134765625,-3.814453125,-6.68359375,-3.126953125,-2.904296875,-2.806640625,-6.98828125,-5.01171875,-7.60546875
034,-1.740234375,-1.990234375,-3.498046875,-7.3359375,-3.896484375,-2.33203125,-3.037109375,-7.484375,-4.19140625,-7.734375
035,-1.544921875,-2.724609375,-4.64453125,-7.35546875,-5.30078125,-3.1875,-3.380859375,-7.11328125,-5.26171875,-7.87109375
036,-1.67578125,-2.40234375,-4.35546875,-8.6875,-3.87890625,-2.1796875,-3.14453125,-6.73046875,-4.00390625,-7.56640625
037,-1.759765625,-2.478515625,-3.861328125,-6.43359375,-4.11328125,-2.7421875,-2.189453125,-7.00390625,-4.71484375,-8.1328125
038,-0.8837890625,-2.259765625,-4.4140625,-7.53125,-4.5859375,-3.2578125,-3.736328125,-7.1953125,-4.60546875,-8.09375
039,-1.115234375,-2.935546875,-3.849609375,-7.5390625,-4.9609375,-2.974609375,-2.302734375,-6.8984375,-5.17578125,-8.234375
040,-1.2822265625,-2.125,-4.546875,-6.3046875,-5.671875,-3.322265625,-2.078125,-7.6171875,-4.48046875,-7.765625
041,-1.341796875,-1.701171875,-3.701171875,-6.87890625,-4.59765625,-2.212890625,-2.310546875,-7.87109375,-3.84765625,-7.59765625
042,-0.78759765625,-1.4287109375,-4.9296875,-8.7734375,-5.1328125,-2.490234375,-3.216796875,-6.7421875,-4.46875,-7.9609375
043,-1.3115234375,-1.6865234375,-3.9765625,-6.984375,-4.3828125,-2.109375,-2.234375,-7.5546875,-4.390625,-7.2890625
044,-1.841796875,-1.888671875,-3.443359375,-7.7734375,-4.5234375,-1.9453125,-1.357421875,-8.1171875,-3.85546875,-7.875
