,elephant,dolphin,panda,lion,kangaroo,base
075,1.6712231920107194,0.0,1.666411999616154,1.6696102032741296,0.0,1.0
076,0.0,0.0,0.0,0.0,0.0,0.0
077,0.0,1.2418338944264748,0.0,0.0,3.7584158360895916,1.0
078,2.506834788016079,0.0,0.0,2.504415304911195,0.0,1.0
079,0.0,0.0,0.0,0.0,0.0,0.0
080,2.506834788016079,0.0,0.0,0.0,2.505610557393061,1.0
081,0.0,0.0,0.0,0.0,0.0,0.0
082,0.0,4.967335577705899,0.0,0.0,0.0,1.0
083,1.6712231920107194,0.0,1.666411999616154,0.0,1.6704070382620406,1.0
084,0.0,0.0,0.0,5.00883060982239,0.0,1.0
085,0.0,0.0,0.0,0.0,5.011221114786122,1.0
086,5.013669576032158,0.0,0.0,0.0,0.0,1.0
087,0.8356115960053597,0.8278892629509832,0.833205999808077,2.5044153049111944,0.0,1.0
088,1.6712231920107194,0.0,1.666411999616154,0.0,1.6704070382620406,1.0
089,0.0,3.7255016832794245,0.0,0.0,1.2528052786965305,1.0
090,5.013669576032158,0.0,0.0,0.0,0.0,1.0
091,1.2534173940080395,1.2418338944264748,1.2498089997121156,1.2522076524555974,0.0,1.0
092,0.0,1.6557785259019664,1.666411999616154,1.6696102032741296,0.0,1.0
093,1.6712231920107194,0.0,1.666411999616154,0.0,1.6704070382620406,1.0
094,0.0,4.967335577705899,0.0,0.0,0.0,1.0
095,0.0,0.0,0.0,0.0,0.0,0.0
096,0.0,3.311557051803933,0.0,0.0,1.6704070382620406,1.0
097,1.6712231920107194,0.0,0.0,1.6696102032741296,1.6704070382620406,1.0
098,0.3581192554308684,1.4192387364873997,0.714176571264066,1.4310944599492539,1.0738330960255975,1.0
099,1.114148794673813,1.103852350601311,0.0,1.1130734688494197,1.6704070382620404,1.0
100,0.963750739237283,0.8904726845563491,0.9501787643599668,1.0818208660523518,1.1148072890344936,1.0
101,1.0340268325059538,0.842492465689603,0.8614694326373875,1.1009912602323297,1.1627120904049209,1.0
